"bite","bit","lesson 1,rule 3 (omit sounding vowels within a word, unless they have a long sound)"
"bituminous","btums","lesson 56 (complete text)"
"blame","blam","lesson 29"
"blended","blnd","lesson 27"
"blight","blit","lesson 10"
"block","blk","lesson 13"
"blow","blo","lesson 8"
"blower","blor","lesson 56 (complete text)"
"blueprint","bloprn","lesson 51 (complete text)"
"body","bd","lesson 15"
"boil","byl","lesson 2, phonetic abbreviations"
"boldface","boldfac","lesson 66 (complete text)"
"bomb","bm","lesson 28"
"bombard","bmbrd","lesson 63 (complete text)"
"bombs","bms","lesson 27"
"bonds","bns","lesson 19"
"bone","bon","lesson 1, rule 1 (never write a silent vowel)"
"bones","bons","lesson 16"
"book","bok","lesson 1(complete text)"
"boot","bot","lesson 1, rule 4 (if a word contains a double vowel, write only one)"
"borax","brx","lesson 53 (complete text)"
"both","bot","lesson 6"
"bottle","btl","lesson 14"
"bottles","btls","lesson 14"
"bought","bt","lesson 24"
"bound","bwn","lesson 27"
"bout","bwt","lesson 2, phonetic abbreviations"
"box","bx","lesson 1,rule 3 (omit sounding vowels within a word, unless they have a long sound)"
"boxes","bxs","lesson 14"
"boy","by","lesson 3"
"boy's","by's","lesson 7"
"braised","brasd","lesson 23"
"branch","brnc","lesson 4"
"branches","brncs","lesson 8"
"brands","brns","lesson 28"
"brass","brs","lesson 10"
"brave","brav","lesson 6"
"bread","brd","lesson 61 (complete text)"
"break","brak","lesson 27"
"breaker","brakr","lesson 59 (complete text)"
"breed","bred","lesson 23"
"brick","brk","lesson 10"
"bridge","brg","lesson 1, rule 5 (omit silent consonants within a word [treat the 2nd of a double consonant as silent])"
"brief","brf","lesson 3"
"briefhand","brfhn","lesson 1"
"bright","brit","lesson 27"
"bring","brg","lesson 2, phonetic abbreviations"
"bringing","brgg","lesson 28"
"broad","brd","lesson 23"
"broadcloth","brdclt","lesson 54 (complete text)"
"broiled","bryld","lesson 23"
"broke","brok","lesson 6"
"brook","brok","lesson 9"
"broom","brom","lesson 1(complete text)"
"brought","brt","lesson 17"
"brush","brs","lesson 26"
"buckingham","bkghm","lesson 5, common word beginnings and endings"
"build","bld","lesson 16"
"built-ins","blt-ns","lesson 51 (complete text)"
"bull","bl","lesson 21"
"bulldozer","bldozr","lesson 57 (complete text)"
"buried","brd","lesson 11"
"burning","brng","lesson 56 (complete text)"
"bursting","brstg","lesson 27"
"business","bsn","lesson 3"
"busy","bs","lesson 2, phonetic abbreviations"
"but","b","lesson 3, briefs b=be, by, buy, been, but"
"butter","btr","lesson 25"
"button","btn","lesson 5, common word beginnings and endings"
"buy","b","lesson 3, briefs b=be, by, buy, been, but"
"buying","bg","lesson 24"
"buys","bs","lesson 14"
"by","b","lesson 3, briefs b=be, by, buy, been, but"
"cable","cab","lesson 2, phonetic abbreviations"
"cage","cag","lesson 2 (complete text)"
"cagy","cag","lesson 2, phonetic abbreviations"
"calcium","clcm","lesson 16"
"calendering","clndrg","lesson 69 (complete text)"
"calf","cf","lesson 21"
"calibrate","clbrat","lesson 64 (complete text)"
"calibration","clbras","lesson 60 (complete text)"
"call","cl","lesson 1, rule 5 (omit silent consonants within a word [treat the 2nd of a double consonant as silent])"
"calorie","clor","lesson 29"
"came","cam","lesson 3"
"can","c","lesson 3, briefs c=can, come, copy credit"
"candy","cnd","lesson 14"
"cannot","cn","lesson 26"
"canopy","cnop","lesson 2, phonetic abbreviations"
"cans","cns","lesson 14"
"cantaloupes","cntlops","lesson 25"
"cantilever","cntlvr","lesson 57 (complete text)"
"cap","cp","lesson 14"
"capable","capb","lesson 11"
"capacitance","cpctn","lesson 60 (complete text)"
"capacitor","cpctr","lesson 52 (complete text)"
"cape","cap","lesson 1, rule 1 (never write a silent vowel)"
"capital","cptl","lesson 20"
"captain","cptn","lesson 4"
"captured","cptrd","lesson 17"
"car","cr","lesson 3"
"carbon","crbn","lesson 4"
"carbonation","crbnas","lesson 62 (complete text)"
"carcass","crcs","lesson 22"
"carcasses","crcs","lesson 22"
"card","crd","lesson 33 (complete text)"
"care","cr","lesson 8"
"career","crer","lesson 9"
"careful","crf","lesson 2, phonetic abbreviations"
"careless","crls","lesson 5, common word beginnings and endings"
"cargo","crgo","lesson 70 (complete text)"
"carried","crd","lesson 11"
"carrier","crr","lesson 70 (complete text)"
"carry","cr","lesson 28"
"carrying","crg","lesson 21"
"cases","cas","lesson 9"
"casing","casg","lesson 64 (complete text)"
"castor","cstr","lesson 5, common word beginnings and endings"
"catalog","ctlg","lesson 7"
"catalogs","ctlgs","lesson 7"
"catalyst","ctlst","lesson 53 (complete text)"
"catch","cc","lesson 11"
"cater","catr","lesson 5, common word beginnings and endings"
"cathedral","ctedrl","lesson 69 (complete text)"
"cattle","ctl","lesson 21"
"cauliflower","clflwr","lesson 61 (complete text)"
"cause","cs","lesson 15"
"causes","cs","lesson 8"
"caution","cs","lesson 5, common word beginnings and endings"
"cedar","cdr","lesson 2 (complete text)"
"ceiling","clg","lesson 2, phonetic abbreviations"
"celebrity","clbr","lesson 2, phonetic abbreviations"
"cell","cl","lesson 11"
"cellophane","clofan","lesson 14"
"cement","cm","lesson 2 (complete text)"
"center","cntr","lesson 21"
"centers","cntrs","lesson 7"
"century","cntr","lesson 18"
"ceramic","crmc","lesson 57 (complete text)"
"certification","crtfcas","lesson 58 (complete text)"
"chain","can","lesson 52 (complete text)"
"chair","cr","lesson 2, phonetic abbreviations"
"chairman","crm","lesson 4"
"chances","cns","lesson 8"
"change","cag","lesson 28 (complete text)"
"changed","cagd","lesson 26"
"changing","cagg","lesson 9"
"chap","cp","lesson 2 (complete text)"
"characteristics","crctrstcs","lesson 23"
"characterizes","crctrizs","lesson 18"
"charitable","crtb","lesson 3"
"chart","crt","lesson 29"
"chase","cas","lesson 2 (complete text)"
"cheap","cep","lesson 2, phonetic abbreviations"
"check","x","lesson 4, briefs x=check"
"cheek","cek","lesson 2 (complete text)"
"cheer","cer","lesson 9 (complete text)"
"cheerful","cerf","lesson 12"
"chickens","ckns","lesson 13"
"chief","cef","lesson 4"
"chiffon","cfn","lesson 54 (complete text)"
"child","cild","lesson 14"
"children","cldrn","lesson 16"
"childs","cild's","lesson 28"
"chinese","cins","lesson 17"
"choice","cyc","lesson 8"
"choices","cys","lesson 6"
"choose","cos","lesson 7"
"chosen","cosn","lesson 23"
"christianity","crstnt","lesson 69 (complete text)"
"church","crc","lesson 11"
"circle","crcl","lesson 5, common word beginnings and endings"
"circuit","crct","lesson 59 (complete text)"
"circuits","crcts","lesson 67 (complete text)"
"circumvent","cs","lesson 5, common word beginnings and endings"
"circus","crcs","lesson 2 (complete text)"
"citizen","ctzn","lesson 3 (complete text)"
"citizens","ctzns","lesson 7"
"citrus","ctrs","lesson 25"
"city","ct","lesson 20"
"civic","cvc","lesson 6"
"civil","cvl","lesson 4"
